date,label
3/5/2015,
4/5/2015,0
5/5/2015,0
6/5/2015,0
7/5/2015,0
8/5/2015,0
9/5/2015,0
10/5/2015,0
11/5/2015,0
12/5/2015,0
13/5/2015,0
14/5/2015,0
15/5/2015,0
16/5/2015,0
17/5/2015,0
18/5/2015,0
19/5/2015,0
20/5/2015,0
21/5/2015,0
22/5/2015,0
23/5/2015,0
24/5/2015,0
25/5/2015,0
26/5/2015,0
27/5/2015,0
28/5/2015,0
29/5/2015,0
30/5/2015,0
2/6/2015,0
3/6/2015,0
4/6/2015,0
5/6/2015,1
6/6/2015,0
7/6/2015,0
8/6/2015,0
9/6/2015,0
10/6/2015,0
11/6/2015,0
12/6/2015,0
13/6/2015,0
14/6/2015,0
15/6/2015,0
16/6/2015,0
17/6/2015,0
18/6/2015,0
19/6/2015,0
20/6/2015,0
21/6/2015,0
22/6/2015,0
23/6/2015,0
24/6/2015,0
25/6/2015,0
26/6/2015,0
27/6/2015,0
28/6/2015,0
29/6/2015,0
30/6/2015,0
1/7/2015,0
2/7/2015,0
3/7/2015,0
4/7/2015,0
5/7/2015,0
6/7/2015,1
7/7/2015,0
8/7/2015,0
9/7/2015,0
10/7/2015,0
11/7/2015,0
12/7/2015,0
13/7/2015,0
14/7/2015,0
15/7/2015,0
16/7/2015,0
17/7/2015,0
18/7/2015,0
19/7/2015,0
20/7/2015,0
21/7/2015,0
22/7/2015,0
23/7/2015,0
24/7/2015,0
25/7/2015,0
26/7/2015,0
27/7/2015,0
28/7/2015,0
29/7/2015,0
30/7/2015,0
31/7/2015,0
1/8/2015,0
2/8/2015,0
3/8/2015,0
4/8/2015,0
5/8/2015,0
6/8/2015,0
7/8/2015,0
8/8/2015,0
9/8/2015,0
10/8/2015,0
11/8/2015,0
12/8/2015,0
13/8/2015,0
14/8/2015,0
15/8/2015,0
16/8/2015,0
17/8/2015,0
18/8/2015,0
19/8/2015,0
20/8/2015,0
21/8/2015,0
22/8/2015,0
23/8/2015,0
24/8/2015,0
25/8/2015,0
26/8/2015,0
27/8/2015,0
28/8/2015,0
29/8/2015,0
30/8/2015,0
31/8/2015,0
1/9/2015,0
2/9/2015,0
3/9/2015,0
4/9/2015,0
5/9/2015,0
6/9/2015,0
7/9/2015,0
8/9/2015,0
9/9/2015,0
10/9/2015,0
11/9/2015,0
12/9/2015,0
13/9/2015,0
14/9/2015,0
15/9/2015,0
16/9/2015,0
17/9/2015,0
18/9/2015,0
19/9/2015,0
20/9/2015,0
21/9/2015,0
22/9/2015,1
23/9/2015,0
24/9/2015,0
25/9/2015,0
26/9/2015,0
27/9/2015,0
28/9/2015,0
29/9/2015,0
30/9/2015,0
1/10/2015,0
2/10/2015,0
3/10/2015,0
4/10/2015,0
5/10/2015,0
6/10/2015,0
